Date,Close
2010-11-30,19521.25
2010-12-01,19850.0
2010-12-02,19992.69921875
2010-12-03,19966.9296875
2010-12-06,19981.310546875
2010-12-07,19934.640625
2010-12-08,19696.48046875
2010-12-09,19242.359375
2010-12-10,19508.890625
2010-12-13,19691.779296875
2010-12-14,19799.189453125
2010-12-15,19647.76953125
2010-12-16,19864.849609375
2010-12-20,19888.880859375
2010-12-21,20060.3203125
2010-12-22,20015.80078125
2010-12-23,19982.880859375
2010-12-24,20073.66015625
2010-12-27,20028.9296875
2010-12-28,20025.419921875
2010-12-29,20256.029296875
2010-12-30,20389.0703125
2010-12-31,20509.08984375
2011-01-03,20561.05078125
2011-01-04,20498.720703125
2011-01-05,20301.099609375
2011-01-06,20184.740234375
2011-01-07,19691.810546875
2011-01-10,19224.119140625
2011-01-11,19196.33984375
2011-01-12,19534.099609375
2011-01-13,19182.8203125
2011-01-14,18860.439453125
2011-01-17,18882.25
2011-01-18,19092.05078125
2011-01-19,18978.3203125
2011-01-20,19046.5390625
2011-01-21,19007.529296875
2011-01-24,19151.279296875
2011-01-25,18969.44921875
2011-01-27,18684.4296875
2011-01-28,18395.970703125
2011-01-31,18327.759765625
2011-02-01,18022.220703125
2011-02-02,18090.619140625
2011-02-03,18449.310546875
2011-02-04,18008.150390625
2011-02-07,18037.189453125
2011-02-08,17775.69921875
2011-02-09,17592.76953125
2011-02-10,17463.0390625
2011-02-11,17728.609375
2011-02-14,18202.19921875
2011-02-15,18273.80078125
2011-02-16,18300.900390625
2011-02-17,18506.8203125
2011-02-18,18211.51953125
2011-02-21,18438.310546875
2011-02-22,18296.16015625
2011-02-23,18178.330078125
2011-02-24,17632.41015625
2011-02-25,17700.91015625
2011-02-28,17823.400390625
2011-03-01,18446.5
2011-03-03,18489.759765625
2011-03-04,18486.44921875
2011-03-07,18222.669921875
2011-03-08,18439.650390625
2011-03-09,18469.94921875
2011-03-10,18327.98046875
2011-03-11,18174.08984375
2011-03-14,18439.48046875
2011-03-15,18167.640625
2011-03-16,18358.689453125
2011-03-17,18149.869140625
2011-03-18,17878.810546875
2011-03-21,17839.05078125
2011-03-22,17988.30078125
2011-03-23,18206.16015625
2011-03-24,18350.740234375
2011-03-25,18815.640625
2011-03-28,18943.140625
2011-03-29,19120.80078125
2011-03-30,19290.1796875
2011-03-31,19445.220703125
2011-04-01,19420.390625
2011-04-04,19701.73046875
2011-04-05,19686.8203125
2011-04-06,19612.19921875
2011-04-07,19591.1796875
2011-04-08,19451.44921875
2011-04-11,19262.5390625
2011-04-13,19696.859375
2011-04-15,19386.8203125
2011-04-18,19091.169921875
2011-04-19,19121.830078125
2011-04-20,19470.98046875
2011-04-21,19602.23046875
2011-04-25,19584.310546875
2011-04-26,19545.349609375
2011-04-27,19448.689453125
2011-04-28,19292.01953125
2011-04-29,19135.9609375
2011-05-02,18998.01953125
2011-05-03,18534.689453125
2011-05-04,18469.359375
2011-05-05,18210.580078125
2011-05-06,18518.810546875
2011-05-09,18528.9609375
2011-05-10,18512.76953125
2011-05-11,18584.9609375
2011-05-12,18335.7890625
2011-05-13,18531.279296875
2011-05-16,18345.029296875
2011-05-17,18137.349609375
2011-05-18,18086.19921875
2011-05-19,18141.400390625
2011-05-20,18326.08984375
2011-05-23,17993.330078125
2011-05-24,18011.970703125
2011-05-25,17847.240234375
2011-05-26,18044.640625
2011-05-27,18266.099609375
2011-05-30,18232.060546875
2011-05-31,18503.279296875
2011-06-01,18608.810546875
2011-06-02,18494.1796875
2011-06-03,18376.48046875
2011-06-06,18420.109375
2011-06-07,18495.619140625
2011-06-08,18394.2890625
2011-06-09,18384.900390625
2011-06-10,18268.5390625
2011-06-13,18266.029296875
2011-06-14,18308.66015625
2011-06-15,18132.240234375
2011-06-16,17985.880859375
2011-06-17,17870.529296875
2011-06-20,17506.630859375
2011-06-21,17560.30078125
2011-06-22,17550.630859375
2011-06-23,17727.490234375
2011-06-24,18240.6796875
2011-06-27,18412.41015625
2011-06-28,18492.44921875
2011-06-29,18693.859375
2011-06-30,18845.869140625
2011-07-01,18762.80078125
2011-07-04,18814.48046875
2011-07-05,18744.560546875
2011-07-06,18726.970703125
2011-07-07,19078.30078125
2011-07-08,18858.0390625
2011-07-11,18721.390625
2011-07-12,18411.619140625
2011-07-13,18596.01953125
2011-07-14,18618.19921875
2011-07-15,18561.919921875
2011-07-18,18507.0390625
2011-07-19,18653.869140625
2011-07-20,18502.380859375
2011-07-21,18436.189453125
2011-07-22,18722.30078125
2011-07-25,18871.2890625
2011-07-26,18518.220703125
2011-07-27,18432.25
2011-07-28,18209.51953125
2011-07-29,18197.19921875
2011-08-01,18314.330078125
2011-08-02,18109.890625
2011-08-03,17940.55078125
2011-08-04,17693.1796875
2011-08-05,17305.869140625
2011-08-08,16990.1796875
2011-08-09,16857.91015625
2011-08-10,17130.509765625
2011-08-11,17059.400390625
2011-08-12,16839.630859375
2011-08-16,16730.939453125
2011-08-17,16840.80078125
2011-08-18,16469.7890625
2011-08-19,16141.669921875
2011-08-22,16341.7001953125
2011-08-23,16498.470703125
2011-08-24,16284.98046875
2011-08-25,16146.330078125
2011-08-26,15848.830078125
2011-08-29,16416.330078125
2011-08-30,16676.75
2011-09-02,16821.4609375
2011-09-05,16713.330078125
2011-09-06,16862.810546875
2011-09-07,17065.0
2011-09-08,17165.5390625
2011-09-09,16866.970703125
2011-09-12,16501.740234375
2011-09-13,16467.439453125
2011-09-14,16709.599609375
2011-09-15,16876.5390625
2011-09-16,16933.830078125
2011-09-19,16745.349609375
2011-09-20,17099.279296875
2011-09-21,17065.150390625
2011-09-22,16361.150390625
2011-09-23,16162.0595703125
2011-09-26,16051.099609375
2011-09-27,16524.029296875
2011-09-28,16446.01953125
2011-09-29,16698.0703125
2011-09-30,16453.759765625
2011-10-03,16151.4501953125
2011-10-04,15864.8603515625
2011-10-05,15792.41015625
2011-10-07,16232.5400390625
