Date,Open,High,Low,Close,Volume
2010-11-30,530.25,543.0250244140625,526.5499877929688,538.0,4808408
2010-12-01,532.0,546.5999755859375,532.0,540.9500122070312,3776032
2010-12-02,545.5,549.5999755859375,537.5250244140625,547.9000244140625,4095716
2010-12-03,546.5250244140625,556.5,545.5750122070312,548.6749877929688,2030112
2010-12-06,550.0,555.0,547.6500244140625,550.8499755859375,1930954
2010-12-07,550.0,550.0,541.0499877929688,543.75,2158324
2010-12-08,545.4749755859375,546.4749755859375,535.625,539.5750122070312,1984132
2010-12-09,541.8499755859375,548.6500244140625,534.0499877929688,536.2999877929688,2579902
2010-12-10,533.5,541.9249877929688,528.5,537.4500122070312,2245624
2010-12-13,535.5,540.3499755859375,524.2000122070312,538.0499877929688,2115066
2010-12-14,536.5999755859375,544.7999877929688,532.0750122070312,540.4749755859375,2615340
2010-12-15,542.5499877929688,554.2000122070312,540.75,551.8250122070312,2572034
2010-12-16,554.5,572.0,552.0750122070312,570.3499755859375,4515704
2010-12-20,567.4000244140625,588.5,557.4249877929688,583.3499755859375,4514046
2010-12-21,584.5,586.125,577.0,580.4000244140625,2810642
2010-12-22,583.5,584.5,568.875,574.875,3186836
2010-12-23,575.0,579.7750244140625,566.0499877929688,570.0,2850924
2010-12-24,567.0,574.4000244140625,562.875,570.5499877929688,1624640
2010-12-27,572.5,579.7249755859375,569.0999755859375,570.5999755859375,1664936
2010-12-28,570.5999755859375,575.4500122070312,570.0250244140625,573.1749877929688,1012876
2010-12-29,574.5,581.0,573.5250244140625,578.4749755859375,1042370
2010-12-30,576.25,587.4000244140625,576.25,585.0999755859375,3845552
2010-12-31,586.25,590.0,580.9000244140625,582.8250122070312,1532980
2011-01-03,583.5,588.4749755859375,577.2750244140625,579.0250244140625,1405042
2011-01-04,581.9500122070312,583.0750122070312,569.0499877929688,572.375,2502868
2011-01-05,572.625,582.9500122070312,570.875,579.4749755859375,3069674
2011-01-06,584.0,591.0,576.5499877929688,585.8499755859375,2846720
2011-01-07,588.0,593.4249877929688,569.0750122070312,571.3250122070312,2532724
2011-01-10,573.75,574.5,560.5,565.4500122070312,3952426
2011-01-11,561.5,567.7750244140625,543.9000244140625,549.25,3768730
2011-01-12,554.9500122070312,575.7999877929688,554.0,567.9749755859375,3160874
2011-01-13,564.4749755859375,577.9749755859375,558.0999755859375,562.125,5589198
2011-01-14,564.9500122070312,575.0,560.0,560.0750122070312,3151692
2011-01-17,560.5999755859375,573.2750244140625,560.0,568.7000122070312,3000212
2011-01-18,587.0,604.4500122070312,582.1749877929688,601.2750244140625,8481370
2011-01-19,601.7249755859375,604.5,592.5,596.5,2952040
2011-01-20,590.0,609.375,590.0,606.0999755859375,4545208
2011-01-21,605.0,610.0,602.0,605.8250122070312,2597404
2011-01-24,600.0,610.0,599.125,604.5999755859375,2016678
2011-01-25,607.4000244140625,609.6500244140625,590.0,594.2750244140625,2467094
2011-01-27,593.7750244140625,604.9749755859375,590.7999877929688,599.7000122070312,4714118
2011-01-28,597.5,601.7999877929688,582.625,590.6749877929688,3014578
2011-01-31,584.5,584.5,564.2750244140625,579.75,5940816
2011-02-01,582.5,582.5,566.5,575.0750122070312,4212708
2011-02-02,585.0,599.4500122070312,581.1749877929688,591.2249755859375,3937618
2011-02-03,592.3499755859375,597.8499755859375,585.3250122070312,591.8499755859375,1883412
2011-02-04,588.0,591.5499877929688,570.125,574.4000244140625,3457600
2011-02-07,586.75,586.75,563.25,565.5750122070312,2578382
2011-02-08,566.0,574.9500122070312,559.25,562.5499877929688,5288638
2011-02-09,561.25,564.7999877929688,541.8499755859375,549.1500244140625,6012732
2011-02-10,550.0,557.25,536.0,545.375,4551822
